"Start","End","Service","Amount","Unit"
"2025-10-01","2025-11-01","AWS Data Pipeline","12.991935276","USD"
"2025-10-01","2025-11-01","AWS Global Accelerator","78.403762939","USD"
"2025-10-01","2025-11-01","AWS Glue","1348.35551312","USD"
"2025-10-01","2025-11-01","AWS Key Management Service","4.963709598","USD"
"2025-10-01","2025-11-01","AWS Lambda","96.5354414084","USD"
"2025-10-01","2025-11-01","AWS Payment Cryptography","0.0074","USD"
"2025-10-01","2025-11-01","AWS Secrets Manager","20.1380119504","USD"
"2025-10-01","2025-11-01","AWS Security Hub","69.56","USD"
"2025-10-01","2025-11-01","AWS Step Functions","6.1342773537","USD"
"2025-10-01","2025-11-01","AWS Support (Business)","764.6483356421","USD"
"2025-10-01","2025-11-01","AWS X-Ray","0.6828","USD"
"2025-10-01","2025-11-01","Amazon API Gateway","78.9215795729","USD"
"2025-10-01","2025-11-01","Amazon Athena","0.146995","USD"
"2025-10-01","2025-11-01","Amazon CloudFront","0.0027011737","USD"
"2025-10-01","2025-11-01","Amazon Cognito","670.30875","USD"
"2025-10-01","2025-11-01","Amazon DynamoDB","1.1607311875","USD"
"2025-10-01","2025-11-01","Amazon EC2 Container Registry (ECR)","15.3508399353","USD"
"2025-10-01","2025-11-01","EC2 - Other","1195.891493959","USD"
"2025-10-01","2025-11-01","Amazon Elastic Compute Cloud - Compute","1378.2137785446","USD"
"2025-10-01","2025-11-01","Amazon Elastic Container Service","256.2173035174","USD"
"2025-10-01","2025-11-01","Amazon Elastic Container Service for Kubernetes","14.352299748","USD"
"2025-10-01","2025-11-01","Amazon Elastic File System","0.3878704372","USD"
"2025-10-01","2025-11-01","Amazon Elastic Load Balancing","543.7698402738","USD"
"2025-10-01","2025-11-01","Amazon GuardDuty","6.0032908436","USD"
"2025-10-01","2025-11-01","Amazon Kinesis","126.42","USD"
"2025-10-01","2025-11-01","Amazon Kinesis Firehose","0.4688557738","USD"
"2025-10-01","2025-11-01","Amazon Lightsail","26.6100946865","USD"
"2025-10-01","2025-11-01","Amazon Location Service","0.001297","USD"
"2025-10-01","2025-11-01","Amazon OpenSearch Service","178.7860009249","USD"
"2025-10-01","2025-11-01","Amazon Redshift","2648.39977702","USD"
"2025-10-01","2025-11-01","Amazon Registrar","15","USD"
"2025-10-01","2025-11-01","Amazon Relational Database Service","3346.2674970516","USD"
"2025-10-01","2025-11-01","Amazon Route 53","1.5026568","USD"
"2025-10-01","2025-11-01","Amazon SageMaker","374.4222450264","USD"
"2025-10-01","2025-11-01","Amazon Simple Notification Service","19.9686145423","USD"
"2025-10-01","2025-11-01","Amazon Simple Queue Service","59.6905728221","USD"
"2025-10-01","2025-11-01","Amazon Simple Storage Service","2318.1673809586","USD"
"2025-10-01","2025-11-01","Amazon Virtual Private Cloud","1224.1880237098","USD"
"2025-10-01","2025-11-01","AmazonCloudWatch","229.9920525989","USD"
"2025-10-01","2025-11-01","CloudWatch Events","0.006132","USD"
"2025-10-01","2025-11-01","CodeBuild","7.88","USD"
"2025-10-01","2025-11-01","Tax","2646.46","USD"
"2025-11-01","2025-12-01","AWS Amplify","0.3204681073","USD"
"2025-11-01","2025-12-01","AWS CloudFormation","0","USD"
"2025-11-01","2025-12-01","AWS CloudShell","0.0000001345","USD"
"2025-11-01","2025-12-01","AWS CloudTrail","73.282725","USD"
